"","V1","V2","V3","V4"
"14315","gene:ENSOKIG00005004615","ITPR3","Gene","Expression"
"14316","gene:ENSOKIG00005004780","gene:ENSOKIG00005004780","Gene","Expression"
"14317","gene:ENSOKIG00005004785","SNX21","Gene","Expression"
"14318","gene:ENSOKIG00005004801","gene:ENSOKIG00005004801","Gene","Expression"
"14319","gene:ENSOKIG00005004871","hm13","Gene","Expression"
"14320","gene:ENSOKIG00005005077","ID1","Gene","Expression"
"14321","gene:ENSOKIG00005005094","mrgbp","Gene","Expression"
"14322","gene:ENSOKIG00005005167","sulf2b","Gene","Expression"
"14323","gene:ENSOKIG00005005334","si:ch211-218g4.2","Gene","Expression"
"14324","gene:ENSOKIG00005005346","phf20b","Gene","Expression"
"14325","gene:ENSOKIG00005005393","ndrg3b","Gene","Expression"
"14326","gene:ENSOKIG00005005537","edem2","Gene","Expression"
"14327","gene:ENSOKIG00005005615","gene:ENSOKIG00005005615","Gene","Expression"
"14328","gene:ENSOKIG00005005636","myh7bb","Gene","Expression"
"14329","gene:ENSOKIG00005005655","gene:ENSOKIG00005005655","Gene","Expression"
"14330","gene:ENSOKIG00005005675","gss","Gene","Expression"
"14331","gene:ENSOKIG00005005733","gene:ENSOKIG00005005733","Gene","Expression"
"14332","gene:ENSOKIG00005005744","pim1","Gene","Expression"
"14333","gene:ENSOKIG00005005765","gene:ENSOKIG00005005765","Gene","Expression"
"14334","gene:ENSOKIG00005005785","si:dkey-8e10.3","Gene","Expression"
"14335","gene:ENSOKIG00005005794","gene:ENSOKIG00005005794","Gene","Expression"
"14336","gene:ENSOKIG00005005800","kcnd1","Gene","Expression"
"14337","gene:ENSOKIG00005005844","gripap1","Gene","Expression"
"14338","gene:ENSOKIG00005006088","ptpn18","Gene","Expression"
"14339","gene:ENSOKIG00005006429","plxna3","Gene","Expression"
"14340","gene:ENSOKIG00005010378","pnck","Gene","Expression"
"14341","gene:ENSOKIG00005010391","gene:ENSOKIG00005010391","Gene","Expression"
"14342","gene:ENSOKIG00005010410","ttll9","Gene","Expression"
"14343","gene:ENSOKIG00005010442","si:dkey-178k16.1","Gene","Expression"
"14344","gene:ENSOKIG00005010519","gene:ENSOKIG00005010519","Gene","Expression"
"14345","gene:ENSOKIG00005010564","cntn3a.1","Gene","Expression"
"14346","gene:ENSOKIG00005010822","gene:ENSOKIG00005010822","Gene","Expression"
"14347","gene:ENSOKIG00005010918","gene:ENSOKIG00005010918","Gene","Expression"
"14348","gene:ENSOKIG00005012014","gene:ENSOKIG00005012014","Gene","Expression"
"14349","gene:ENSOKIG00005012021","gene:ENSOKIG00005012021","Gene","Expression"
"14350","gene:ENSOKIG00005012033","cntn3a.2","Gene","Expression"
"14351","gene:ENSOKIG00005012166","exosc10","Gene","Expression"
"14352","gene:ENSOKIG00005012378","srm","Gene","Expression"
"14353","gene:ENSOKIG00005012411","cort","Gene","Expression"
"14354","gene:ENSOKIG00005012419","gene:ENSOKIG00005012419","Gene","Expression"
"14355","gene:ENSOKIG00005012425","masp2","Gene","Expression"
"14356","gene:ENSOKIG00005012438","dffa","Gene","Expression"
"14357","gene:ENSOKIG00005012458","pex14","Gene","Expression"
"14358","gene:ENSOKIG00005012484","casz1","Gene","Expression"
"14359","gene:ENSOKIG00005012545","gene:ENSOKIG00005012545","Gene","Expression"
"14360","gene:ENSOKIG00005012556","tardbpl","Gene","Expression"
"14361","gene:ENSOKIG00005012604","gene:ENSOKIG00005012604","Gene","Expression"
"14362","gene:ENSOKIG00005012699","kif1b","Gene","Expression"
"14363","gene:ENSOKIG00005013102","ube4b","Gene","Expression"
"14364","gene:ENSOKIG00005015503","gene:ENSOKIG00005015503","Gene","Expression"
"14365","gene:ENSOKIG00005015509","nmnat1","Gene","Expression"
"14366","gene:ENSOKIG00005015522","lzic","Gene","Expression"
"14367","gene:ENSOKIG00005015716","clstn1","Gene","Expression"
"14368","gene:ENSOKIG00005018953","ctnnbip1","Gene","Expression"
"14369","gene:ENSOKIG00005019186","pik3cd","Gene","Expression"
"14370","gene:ENSOKIG00005023079","tmem201","Gene","Expression"
"14371","gene:ENSOKIG00005023095","ndufb11","Gene","Expression"
"14372","gene:ENSOKIG00005023119","gene:ENSOKIG00005023119","Gene","Expression"
"14373","gene:ENSOKIG00005023219","gene:ENSOKIG00005023219","Gene","Expression"
"14374","gene:ENSOKIG00005023279","tpk2","Gene","Expression"
"14375","gene:ENSOKIG00005023298","si:dkey-6n6.1","Gene","Expression"
"14376","gene:ENSOKIG00005023311","bgna","Gene","Expression"
"14377","gene:ENSOKIG00005023393","dedd","Gene","Expression"
"14378","gene:ENSOKIG00005023405","gene:ENSOKIG00005023405","Gene","Expression"
"14379","gene:ENSOKIG00005023421","gene:ENSOKIG00005023421","Gene","Expression"
"14380","gene:ENSOKIG00005023460","atp2b3a","Gene","Expression"
"14381","gene:ENSOKIG00005023937","nr1h5","Gene","Expression"
"14382","gene:ENSOKIG00005023974","slc66a1","Gene","Expression"
"14383","gene:ENSOKIG00005024124","trim33","Gene","Expression"
"14384","gene:ENSOKIG00005024913","bcas2","Gene","Expression"
"14385","gene:ENSOKIG00005024971","dennd2c","Gene","Expression"
"14386","gene:ENSOKIG00005025384","ampd1","Gene","Expression"
"14387","gene:ENSOKIG00005028925","CSDE1","Gene","Expression"
"14388","gene:ENSOKIG00005030031","SIKE1","Gene","Expression"
"14389","gene:ENSOKIG00005030049","gene:ENSOKIG00005030049","Gene","Expression"
"14390","gene:ENSOKIG00005030087","tmco4","Gene","Expression"
"14391","gene:ENSOKIG00005030211","vwa1","Gene","Expression"
"14392","gene:ENSOKIG00005030224","otud3","Gene","Expression"
"14393","gene:ENSOKIG00005030252","tmem240a","Gene","Expression"
"14394","gene:ENSOKIG00005030311","ATAD3A.1","Gene","Expression"
"14395","gene:ENSOKIG00005030415","szrd1","Gene","Expression"
"14396","gene:ENSOKIG00005030430","gene:ENSOKIG00005030430","Gene","Expression"
"14397","gene:ENSOKIG00005030477","SPEN.1","Gene","Expression"
"14398","gene:ENSOKIG00005030709","epha2b","Gene","Expression"
"14399","gene:ENSOKIG00005032414","zbtb17","Gene","Expression"
"14400","gene:ENSOKIG00005032432","ddost","Gene","Expression"
"14401","gene:ENSOKIG00005032618","plekhm2","Gene","Expression"
"14402","gene:ENSOKIG00005034994","ano11","Gene","Expression"
"14403","gene:ENSOKIG00005035355","arhgef19","Gene","Expression"
"14404","gene:ENSOKIG00005035621","gene:ENSOKIG00005035621","Gene","Expression"
"14405","gene:ENSOKIG00005019731","gene:ENSOKIG00005019731","Gene","Expression"
"14406","gene:ENSOKIG00005019743","gene:ENSOKIG00005019743","Gene","Expression"
"14407","gene:ENSOKIG00005019745","gene:ENSOKIG00005019745","Gene","Expression"
"14408","gene:ENSOKIG00005019917","mib2","Gene","Expression"
"14409","gene:ENSOKIG00005023029","ubiad1","Gene","Expression"
"14410","gene:ENSOKIG00005023043","MMP23B","Gene","Expression"
"14411","gene:ENSOKIG00005023074","cdk11b","Gene","Expression"
"14412","gene:ENSOKIG00005023126","SLC35E2B","Gene","Expression"
"14413","gene:ENSOKIG00005023178","gene:ENSOKIG00005023178","Gene","Expression"
"14414","gene:ENSOKIG00005023251","NADK","Gene","Expression"
"14415","gene:ENSOKIG00005023465","gnb1a","Gene","Expression"
"14416","gene:ENSOKIG00005023488","gene:ENSOKIG00005023488","Gene","Expression"
"14417","gene:ENSOKIG00005023511","GABRD","Gene","Expression"
"14418","gene:ENSOKIG00005023606","gene:ENSOKIG00005023606","Gene","Expression"
"14419","gene:ENSOKIG00005023621","ajap1","Gene","Expression"
"14420","gene:ENSOKIG00005023627","dffb","Gene","Expression"
"14421","gene:ENSOKIG00005023641","gene:ENSOKIG00005023641","Gene","Expression"
"14422","gene:ENSOKIG00005023651","b3gnt7l","Gene","Expression"
"14423","gene:ENSOKIG00005023661","cep104","Gene","Expression"
"14424","gene:ENSOKIG00005023703","lrrc47","Gene","Expression"
"14425","gene:ENSOKIG00005023737","gene:ENSOKIG00005023737","Gene","Expression"
"14426","gene:ENSOKIG00005023755","gene:ENSOKIG00005023755","Gene","Expression"
"14427","gene:ENSOKIG00005024039","plxna1a","Gene","Expression"
"14428","gene:ENSOKIG00005026647","gene:ENSOKIG00005026647","Gene","Expression"
"14429","gene:ENSOKIG00005026668","gene:ENSOKIG00005026668","Gene","Expression"
"14430","gene:ENSOKIG00005026682","gene:ENSOKIG00005026682","Gene","Expression"
"14431","gene:ENSOKIG00005026713","HDAC7","Gene","Expression"
"14432","gene:ENSOKIG00005026927","gene:ENSOKIG00005026927","Gene","Expression"
"14433","gene:ENSOKIG00005026934","gene:ENSOKIG00005026934","Gene","Expression"
"14434","gene:ENSOKIG00005026935","gene:ENSOKIG00005026935","Gene","Expression"
"14435","gene:ENSOKIG00005026939","gene:ENSOKIG00005026939","Gene","Expression"
"14436","gene:ENSOKIG00005026962","VDR","Gene","Expression"
"14437","gene:ENSOKIG00005027065","CALCRL","Gene","Expression"
"14438","gene:ENSOKIG00005027420","itchb","Gene","Expression"
"14439","gene:ENSOKIG00005031933","znf341","Gene","Expression"
"14440","gene:ENSOKIG00005031981","e2f1","Gene","Expression"
"14441","gene:ENSOKIG00005032027","ctnnbl1","Gene","Expression"
"14442","gene:ENSOKIG00005032554","VSTM2L","Gene","Expression"
"14443","gene:ENSOKIG00005032560","gene:ENSOKIG00005032560","Gene","Expression"
"14444","gene:ENSOKIG00005032577","rprd1b","Gene","Expression"
"14445","gene:ENSOKIG00005032601","si:dkey-65j6.2","Gene","Expression"
"14446","gene:ENSOKIG00005032626","DLGAP4","Gene","Expression"
"14447","gene:ENSOKIG00005032785","pfkfb2a","Gene","Expression"
"14448","gene:ENSOKIG00005034438","gene:ENSOKIG00005034438","Gene","Expression"
"14449","gene:ENSOKIG00005034554","scube3","Gene","Expression"
"14450","gene:ENSOKIG00005037665","gene:ENSOKIG00005037665","Gene","Expression"
"14451","gene:ENSOKIG00005037679","gene:ENSOKIG00005037679","Gene","Expression"
"14452","gene:ENSOKIG00005037811","ANKS1A","Gene","Expression"
"14453","gene:ENSOKIG00005038520","gene:ENSOKIG00005038520","Gene","Expression"
"14454","gene:ENSOKIG00005038557","taf11","Gene","Expression"
"14455","gene:ENSOKIG00005038575","uhrf1bp1","Gene","Expression"
"14456","gene:ENSOKIG00005038686","ILRUN","Gene","Expression"
"14457","gene:ENSOKIG00005038702","SPDEF.1","Gene","Expression"
"14458","gene:ENSOKIG00005038719","pacsin1a","Gene","Expression"
"14459","gene:ENSOKIG00005038797","RPS10","Gene","Expression"
"14460","gene:ENSOKIG00005038815","nudt3a","Gene","Expression"
"14461","gene:ENSOKIG00005038826","gene:ENSOKIG00005038826","Gene","Expression"
"14462","gene:ENSOKIG00005038848","smim29","Gene","Expression"
"14463","gene:ENSOKIG00005038860","gene:ENSOKIG00005038860","Gene","Expression"
"14464","gene:ENSOKIG00005038876","GRM4","Gene","Expression"
"14465","gene:ENSOKIG00005038951","gene:ENSOKIG00005038951","Gene","Expression"
"14466","gene:ENSOKIG00005039316","gene:ENSOKIG00005039316","Gene","Expression"
"14467","gene:ENSOKIG00005039333","gene:ENSOKIG00005039333","Gene","Expression"
"14468","gene:ENSOKIG00005039372","SYT2.1","Gene","Expression"
"14469","gene:ENSOKIG00005039408","OARD1","Gene","Expression"
"14470","gene:ENSOKIG00005039499","ppp4r2a","Gene","Expression"
"14471","gene:ENSOKIG00005039602","EIF4E3.1","Gene","Expression"
"14472","gene:ENSOKIG00005039672","gene:ENSOKIG00005039672","Gene","Expression"
"14473","gene:ENSOKIG00005039684","gene:ENSOKIG00005039684","Gene","Expression"
"14474","gene:ENSOKIG00005039693","foxp1a","Gene","Expression"
"14475","gene:ENSOKIG00005039704","gene:ENSOKIG00005039704","Gene","Expression"
"14476","gene:ENSOKIG00005039723","MITF","Gene","Expression"
"14477","gene:ENSOKIG00005039862","FRMD4B","Gene","Expression"
"14478","gene:ENSOKIG00005040078","LMOD3","Gene","Expression"
"14479","gene:ENSOKIG00005040201","ARL6IP5","Gene","Expression"
"14480","gene:ENSOKIG00005040230","UBA3","Gene","Expression"
"14481","gene:ENSOKIG00005040314","gene:ENSOKIG00005040314","Gene","Expression"
"14482","gene:ENSOKIG00005040334","TAFA1.1","Gene","Expression"
"14483","gene:ENSOKIG00005040354","slc16a7","Gene","Expression"
"14484","gene:ENSOKIG00005040500","NFASC","Gene","Expression"
"14485","gene:ENSOKIG00005042824","gene:ENSOKIG00005042824","Gene","Expression"
"14486","gene:ENSOKIG00005042912","gene:ENSOKIG00005042912","Gene","Expression"
"14487","gene:ENSOKIG00005042926","zgc:92287","Gene","Expression"
"14488","gene:ENSOKIG00005042954","gene:ENSOKIG00005042954","Gene","Expression"
"14489","gene:ENSOKIG00005042966","mfsd4ab","Gene","Expression"
"14490","gene:ENSOKIG00005043108","gene:ENSOKIG00005043108","Gene","Expression"
"14491","gene:ENSOKIG00005043281","gene:ENSOKIG00005043281","Gene","Expression"
"14492","gene:ENSOKIG00005043310","gene:ENSOKIG00005043310","Gene","Expression"
"14493","gene:ENSOKIG00005043352","gene:ENSOKIG00005043352","Gene","Expression"
"14494","gene:ENSOKIG00005043362","dnajc11a","Gene","Expression"
"14495","gene:ENSOKIG00005043418","U7.22","Gene","Expression"
"14496","gene:ENSOKIG00005043430","camta1a","Gene","Expression"
"14497","gene:ENSOKIG00005043562","gene:ENSOKIG00005043562","Gene","Expression"
"14498","gene:ENSOKIG00005004278","uts2a","Gene","Expression"
"14499","gene:ENSOKIG00005004336","gene:ENSOKIG00005004336","Gene","Expression"
"14500","gene:ENSOKIG00005004394","tnfrsf9a","Gene","Expression"
"14501","gene:ENSOKIG00005004436","DVL1","Gene","Expression"
"14502","gene:ENSOKIG00005004467","mxra8b","Gene","Expression"
"14503","gene:ENSOKIG00005004493","gene:ENSOKIG00005004493","Gene","Expression"
"14504","gene:ENSOKIG00005004697","RAP1GAP.1","Gene","Expression"
"14505","gene:ENSOKIG00005006243","gene:ENSOKIG00005006243","Gene","Expression"
"14506","gene:ENSOKIG00005006254","gene:ENSOKIG00005006254","Gene","Expression"
"14507","gene:ENSOKIG00005006308","zgc:162200","Gene","Expression"
"14508","gene:ENSOKIG00005006331","apex2","Gene","Expression"
"14509","gene:ENSOKIG00005006360","slc38a5a","Gene","Expression"
"14510","gene:ENSOKIG00005006523","wasa","Gene","Expression"
"14511","gene:ENSOKIG00005006715","sema3ga","Gene","Expression"
"14512","gene:ENSOKIG00005009194","tspy","Gene","Expression"
"14513","gene:ENSOKIG00005009212","si:ch211-167b20.8","Gene","Expression"
"14514","gene:ENSOKIG00005009220","GPR173","Gene","Expression"
"14515","gene:ENSOKIG00005009233","suv39h1b","Gene","Expression"
"14516","gene:ENSOKIG00005009272","WDR13","Gene","Expression"
"14517","gene:ENSOKIG00005009370","PORCN.1","Gene","Expression"
"14518","gene:ENSOKIG00005009420","PDZD4","Gene","Expression"
"14519","gene:ENSOKIG00005009474","kdm5c","Gene","Expression"
"14520","gene:ENSOKIG00005009602","gene:ENSOKIG00005009602","Gene","Expression"
"14521","gene:ENSOKIG00005009608","iqsec2b","Gene","Expression"
"14522","gene:ENSOKIG00005009642","gpkow","Gene","Expression"
"14523","gene:ENSOKIG00005009696","pqbp1","Gene","Expression"
"14524","gene:ENSOKIG00005009734","timm17b","Gene","Expression"
"14525","gene:ENSOKIG00005009746","PRAF2","Gene","Expression"
"14526","gene:ENSOKIG00005009818","gene:ENSOKIG00005009818","Gene","Expression"
"14527","gene:ENSOKIG00005010385","sypb","Gene","Expression"
"14528","gene:ENSOKIG00005010396","plp2","Gene","Expression"
"14529","gene:ENSOKIG00005010412","prickle3","Gene","Expression"
"14530","gene:ENSOKIG00005010492","fam110a","Gene","Expression"
"14531","gene:ENSOKIG00005010498","zgc:171501","Gene","Expression"
"14532","gene:ENSOKIG00005010520","fkbp1aa","Gene","Expression"
"14533","gene:ENSOKIG00005010533","snpha","Gene","Expression"
"14534","gene:ENSOKIG00005010545","rad21l1","Gene","Expression"
"14535","gene:ENSOKIG00005010554","gene:ENSOKIG00005010554","Gene","Expression"
"14536","gene:ENSOKIG00005010562","emilin3a","Gene","Expression"
"14537","gene:ENSOKIG00005010576","samd10a","Gene","Expression"
"14538","gene:ENSOKIG00005010607","uckl1a","Gene","Expression"
"14539","gene:ENSOKIG00005010751","si:dkey-70p6.1","Gene","Expression"
"14540","gene:ENSOKIG00005010761","zgc:100920","Gene","Expression"
"14541","gene:ENSOKIG00005010775","ythdf1","Gene","Expression"
"14542","gene:ENSOKIG00005010799","slc17a9a","Gene","Expression"
"14543","gene:ENSOKIG00005010813","GID8","Gene","Expression"
"14544","gene:ENSOKIG00005010839","dnajc5aa","Gene","Expression"
"14545","gene:ENSOKIG00005010858","tpd52l2a","Gene","Expression"
"14546","gene:ENSOKIG00005010896","ppdpfa","Gene","Expression"
"14547","gene:ENSOKIG00005010907","nol4la","Gene","Expression"
"14548","gene:ENSOKIG00005011064","dnmt3ba","Gene","Expression"
"14549","gene:ENSOKIG00005012822","mapre1a","Gene","Expression"
"14550","gene:ENSOKIG00005012849","gene:ENSOKIG00005012849","Gene","Expression"
"14551","gene:ENSOKIG00005012869","gene:ENSOKIG00005012869","Gene","Expression"
"14552","gene:ENSOKIG00005012903","ADRM1","Gene","Expression"
"14553","gene:ENSOKIG00005013044","CABLES2","Gene","Expression"
"14554","gene:ENSOKIG00005013064","XKR7","Gene","Expression"
"14555","gene:ENSOKIG00005013073","gene:ENSOKIG00005013073","Gene","Expression"
"14556","gene:ENSOKIG00005013090","gene:ENSOKIG00005013090","Gene","Expression"
"14557","gene:ENSOKIG00005013106","lmod1a","Gene","Expression"
"14558","gene:ENSOKIG00005013155","KDM5B","Gene","Expression"
"14559","gene:ENSOKIG00005013565","gene:ENSOKIG00005013565","Gene","Expression"
"14560","gene:ENSOKIG00005013604","KLHL12","Gene","Expression"
"14561","gene:ENSOKIG00005013713","gene:ENSOKIG00005013713","Gene","Expression"
"14562","gene:ENSOKIG00005013748","cebpb","Gene","Expression"
"14563","gene:ENSOKIG00005013772","ube2v1.1","Gene","Expression"
"14564","gene:ENSOKIG00005013835","slc52a3","Gene","Expression"
"14565","gene:ENSOKIG00005013841","gene:ENSOKIG00005013841","Gene","Expression"
"14566","gene:ENSOKIG00005013853","scrt2","Gene","Expression"
"14567","gene:ENSOKIG00005013862","srxn1","Gene","Expression"
"14568","gene:ENSOKIG00005013874","tcf15","Gene","Expression"
"14569","gene:ENSOKIG00005013892","gene:ENSOKIG00005013892","Gene","Expression"
"14570","gene:ENSOKIG00005013897","mc3r","Gene","Expression"
"14571","gene:ENSOKIG00005013918","slc13a3","Gene","Expression"
"14572","gene:ENSOKIG00005013973","gene:ENSOKIG00005013973","Gene","Expression"
"14573","gene:ENSOKIG00005013981","TMEM198.1","Gene","Expression"
"14574","gene:ENSOKIG00005013989","gene:ENSOKIG00005013989","Gene","Expression"
"14575","gene:ENSOKIG00005014008","PYM1","Gene","Expression"
"14576","gene:ENSOKIG00005014029","gene:ENSOKIG00005014029","Gene","Expression"
"14577","gene:ENSOKIG00005014062","pan2","Gene","Expression"
"14578","gene:ENSOKIG00005014079","gene:ENSOKIG00005014079","Gene","Expression"
"14579","gene:ENSOKIG00005014091","ormdl2","Gene","Expression"
"14580","gene:ENSOKIG00005014122","nemp1","Gene","Expression"
"14581","gene:ENSOKIG00005014152","gene:ENSOKIG00005014152","Gene","Expression"
"14582","gene:ENSOKIG00005014199","gene:ENSOKIG00005014199","Gene","Expression"
"14583","gene:ENSOKIG00005014206","zgc:56699","Gene","Expression"
"14584","gene:ENSOKIG00005014219","nr4a1","Gene","Expression"
"14585","gene:ENSOKIG00005014228","grasp","Gene","Expression"
"14586","gene:ENSOKIG00005014261","dgkaa","Gene","Expression"
"14587","gene:ENSOKIG00005014418","rnf41","Gene","Expression"
"14588","gene:ENSOKIG00005014437","slc39a5","Gene","Expression"
"14589","gene:ENSOKIG00005014499","ankrd52a","Gene","Expression"
"14590","gene:ENSOKIG00005014957","COQ10A.1","Gene","Expression"
"14591","gene:ENSOKIG00005014970","cs","Gene","Expression"
"14592","gene:ENSOKIG00005015043","gene:ENSOKIG00005015043","Gene","Expression"
"14593","gene:ENSOKIG00005015120","racgap1","Gene","Expression"
"14594","gene:ENSOKIG00005015173","si:ch211-210c8.6","Gene","Expression"
"14595","gene:ENSOKIG00005017489","bin2a","Gene","Expression"
"14596","gene:ENSOKIG00005017519","si:ch211-210c8.7","Gene","Expression"
"14597","gene:ENSOKIG00005017527","dazap2","Gene","Expression"
"14598","gene:ENSOKIG00005017537","pou6f1","Gene","Expression"
"14599","gene:ENSOKIG00005017683","tfcp2","Gene","Expression"
"14600","gene:ENSOKIG00005019035","csrnp2","Gene","Expression"
"14601","gene:ENSOKIG00005019139","itga5","Gene","Expression"
"14602","gene:ENSOKIG00005019476","rapgef3","Gene","Expression"
"14603","gene:ENSOKIG00005020219","gene:ENSOKIG00005020219","Gene","Expression"
"14604","gene:ENSOKIG00005020248","SLC26A9","Gene","Expression"
"14605","gene:ENSOKIG00005020261","gene:ENSOKIG00005020261","Gene","Expression"
"14606","gene:ENSOKIG00005020400","plxna2","Gene","Expression"
"14607","gene:ENSOKIG00005021298","gene:ENSOKIG00005021298","Gene","Expression"
"14608","gene:ENSOKIG00005021309","gene:ENSOKIG00005021309","Gene","Expression"
"14609","gene:ENSOKIG00005021370","gene:ENSOKIG00005021370","Gene","Expression"
"14610","gene:ENSOKIG00005021504","ptpn22","Gene","Expression"
"14611","gene:ENSOKIG00005021562","gene:ENSOKIG00005021562","Gene","Expression"
"14612","gene:ENSOKIG00005021568","gene:ENSOKIG00005021568","Gene","Expression"
"14613","gene:ENSOKIG00005021574","RSBN1","Gene","Expression"
"14614","gene:ENSOKIG00005021663","gene:ENSOKIG00005021663","Gene","Expression"
"14615","gene:ENSOKIG00005021889","gene:ENSOKIG00005021889","Gene","Expression"
"14616","gene:ENSOKIG00005021903","si:ch73-206d17.1","Gene","Expression"
"14617","gene:ENSOKIG00005021916","si:dkey-205h13.1","Gene","Expression"
"14618","gene:ENSOKIG00005021998","gene:ENSOKIG00005021998","Gene","Expression"
"14619","gene:ENSOKIG00005024265","gene:ENSOKIG00005024265","Gene","Expression"
"14620","gene:ENSOKIG00005024275","gene:ENSOKIG00005024275","Gene","Expression"
"14621","gene:ENSOKIG00005024286","agmat","Gene","Expression"
"14622","gene:ENSOKIG00005024334","pink1","Gene","Expression"
"14623","gene:ENSOKIG00005024360","cdaa","Gene","Expression"
"14624","gene:ENSOKIG00005024413","gene:ENSOKIG00005024413","Gene","Expression"
"14625","gene:ENSOKIG00005024432","mul1b","Gene","Expression"
"14626","gene:ENSOKIG00005024441","fam43b","Gene","Expression"
"14627","gene:ENSOKIG00005024455","gene:ENSOKIG00005024455","Gene","Expression"
"14628","gene:ENSOKIG00005024518","zgc:193690","Gene","Expression"
"14629","gene:ENSOKIG00005025697","gene:ENSOKIG00005025697","Gene","Expression"
"14630","gene:ENSOKIG00005025737","cptp","Gene","Expression"
"14631","gene:ENSOKIG00005025788","INTS11","Gene","Expression"
"14632","gene:ENSOKIG00005026189","gene:ENSOKIG00005026189","Gene","Expression"
"14633","gene:ENSOKIG00005026588","acap3a","Gene","Expression"
"14634","gene:ENSOKIG00005033247","hipk1a","Gene","Expression"
"14635","gene:ENSOKIG00005033319","sdf4","Gene","Expression"
"14636","gene:ENSOKIG00005033351","c1qtnf12","Gene","Expression"
"14637","gene:ENSOKIG00005033364","gene:ENSOKIG00005033364","Gene","Expression"
"14638","gene:ENSOKIG00005033403","syt6a","Gene","Expression"
"14639","gene:ENSOKIG00005033406","klhl21","Gene","Expression"
"14640","gene:ENSOKIG00005033417","zbtb48","Gene","Expression"
"14641","gene:ENSOKIG00005033443","plekhg5b","Gene","Expression"
"14642","gene:ENSOKIG00005033561","gene:ENSOKIG00005033561","Gene","Expression"
"14643","gene:ENSOKIG00005033578","gene:ENSOKIG00005033578","Gene","Expression"
"14644","gene:ENSOKIG00005033597","irx7","Gene","Expression"
"14645","gene:ENSOKIG00005033607","cd40","Gene","Expression"
"14646","gene:ENSOKIG00005033629","cbln4","Gene","Expression"
"14647","gene:ENSOKIG00005033678","pfdn4","Gene","Expression"
"14648","gene:ENSOKIG00005033695","znf217","Gene","Expression"
"14649","gene:ENSOKIG00005033709","gene:ENSOKIG00005033709","Gene","Expression"
"14650","gene:ENSOKIG00005033723","tshz2","Gene","Expression"
"14651","gene:ENSOKIG00005033734","zfp64","Gene","Expression"
"14652","gene:ENSOKIG00005033740","sall4","Gene","Expression"
"14653","gene:ENSOKIG00005033933","ATP9A","Gene","Expression"
"14654","gene:ENSOKIG00005037272","gene:ENSOKIG00005037272","Gene","Expression"
"14655","gene:ENSOKIG00005037284","nfatc2a","Gene","Expression"
"14656","gene:ENSOKIG00005037323","kcng1","Gene","Expression"
"14657","gene:ENSOKIG00005037346","src","Gene","Expression"
"14658","gene:ENSOKIG00005037459","mical1","Gene","Expression"
"14659","gene:ENSOKIG00005037695","g0s2","Gene","Expression"
"14660","gene:ENSOKIG00005037731","TAF8","Gene","Expression"
"14661","gene:ENSOKIG00005037834","atp6ap1b","Gene","Expression"
"14662","gene:ENSOKIG00005037902","gdi1","Gene","Expression"
"14663","gene:ENSOKIG00005038005","itih6","Gene","Expression"
"14664","gene:ENSOKIG00005038187","pfkfb1","Gene","Expression"
"14665","gene:ENSOKIG00005040583","gene:ENSOKIG00005040583","Gene","Expression"
"14666","gene:ENSOKIG00005040624","ccn5","Gene","Expression"
"14667","gene:ENSOKIG00005040663","ada","Gene","Expression"
"14668","gene:ENSOKIG00005040874","pkig","Gene","Expression"
"14669","gene:ENSOKIG00005040897","ttpal","Gene","Expression"
"14670","gene:ENSOKIG00005040952","hnf4a","Gene","Expression"
"14671","gene:ENSOKIG00005041168","gdap1l1","Gene","Expression"
"14672","gene:ENSOKIG00005041202","FITM2","Gene","Expression"
"14673","gene:ENSOKIG00005041215","jph2","Gene","Expression"
"14674","gene:ENSOKIG00005041233","tuba1b","Gene","Expression"
"14675","gene:ENSOKIG00005041249","gene:ENSOKIG00005041249","Gene","Expression"
"14676","gene:ENSOKIG00005041338","gene:ENSOKIG00005041338","Gene","Expression"
"14677","gene:ENSOKIG00005041373","pmelb","Gene","Expression"
"14678","gene:ENSOKIG00005041417","gene:ENSOKIG00005041417","Gene","Expression"
"14679","gene:ENSOKIG00005041445","gene:ENSOKIG00005041445","Gene","Expression"
"14680","gene:ENSOKIG00005041583","CCNT1","Gene","Expression"
"14681","gene:ENSOKIG00005041627","gene:ENSOKIG00005041627","Gene","Expression"
"14682","gene:ENSOKIG00005041653","TMBIM6.1","Gene","Expression"
"14683","gene:ENSOKIG00005041686","ctdsp2","Gene","Expression"
"14684","gene:ENSOKIG00005041712","march9","Gene","Expression"
"14685","gene:ENSOKIG00005041804","agap2","Gene","Expression"
"14686","gene:ENSOKIG00005042968","zbtb39","Gene","Expression"
"14687","gene:ENSOKIG00005042975","gpr182","Gene","Expression"
"14688","gene:ENSOKIG00005043023","pip4k2ca","Gene","Expression"
"14689","gene:ENSOKIG00005031575","gene:ENSOKIG00005031575","Gene","Expression"
"14690","gene:ENSOKIG00005031581","gene:ENSOKIG00005031581","Gene","Expression"
"14691","gene:ENSOKIG00005031596","znf740b","Gene","Expression"
"14692","gene:ENSOKIG00005031606","COPZ1","Gene","Expression"
"14693","gene:ENSOKIG00005031636","nfe2","Gene","Expression"
"14694","gene:ENSOKIG00005031639","gene:ENSOKIG00005031639","Gene","Expression"
"14695","gene:ENSOKIG00005031647","cbx5","Gene","Expression"
